id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_14239,"Liquid Lipstick (Kathryn)","Liquid Lipstick by Anastasia Beverly Hills is a full-pigment liquid lip colour formula that dries down to a weightless matte finish for smudge-proof wearability and long-lasting colour. This comfortable matte formula delivers full coverage wear and creates the appearance of fuller lips. 
 
Benefits: 
 
  Features a double-sided flat applicator with a rounded tip that distributes the perfect amount of product for precise application 
  The long-wearing shades are versatile enough for customisation, so you can mix and match multiple shades without losing pigment 
 
Features: 
 
  Cruelty-free 
  Vegan",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/IMG_8928.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/product/liquid-lipstick-kathryn/,"Lips, Lipstick, Makeup, Sale","wordpress-637743-3104200.cloudwaysapps.com",2800BDT,in stock,wc_post_id_14239,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/K3.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/K.webp,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/K2.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/172666580_1882514591915943_9070638739838638681_n.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2200BDT,new,published,,,,,,,
wc_post_id_14238,"Liquid Lipstick (Hudson)","Liquid Lipstick by Anastasia Beverly Hills is a full-pigment liquid lip colour formula that dries down to a weightless matte finish for smudge-proof wearability and long-lasting colour. This comfortable matte formula delivers full coverage wear and creates the appearance of fuller lips. 
 
Benefits: 
 
  Features a double-sided flat applicator with a rounded tip that distributes the perfect amount of product for precise application 
  The long-wearing shades are versatile enough for customisation, so you can mix and match multiple shades without losing pigment 
 
Features: 
 
  Cruelty-free 
  Vegan",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/Liquid-Lipstick-Hudson.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/product/liquid-lipstick-hudson/,"Lips, Lipstick, Makeup, Sale","wordpress-637743-3104200.cloudwaysapps.com",2800BDT,in stock,wc_post_id_14238,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/H3.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/H.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/H2.jpeg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2200BDT,new,published,,,,,,,
wc_post_id_14237,"Liquid Lipstick (Dusty Rose)","Liquid Lipstick by Anastasia Beverly Hills is a full-pigment liquid lip colour formula that dries down to a weightless matte finish for smudge-proof wearability and long-lasting colour. This comfortable matte formula delivers full coverage wear and creates the appearance of fuller lips. 
 
Benefits: 
 
  Features a double-sided flat applicator with a rounded tip that distributes the perfect amount of product for precise application 
  The long-wearing shades are versatile enough for customisation, so you can mix and match multiple shades without losing pigment 
 
Features: 
 
  Cruelty-free 
  Vegan",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/s-l1600.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/product/liquid-lipstick-dusty-rose/,"Lips, Lipstick, Makeup, Sale","wordpress-637743-3104200.cloudwaysapps.com",2800BDT,in stock,wc_post_id_14237,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/DR2.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/DR.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/DR3.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/Liquid-Lipstick-Dusty-Rose.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/09/Liquid-Lipstick-Dusty-Rose-1.jpeg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2200BDT,new,published,,,,,,,
wc_post_id_14234,"Moisture Surge™ Overnight Mask","A creamy, oil-free facial mask deeply nourishes and hydrates while you sleep. Leaves skin soft, dewy, glowing. 
 
 
 
 
 
Skin Type: Very Dry to Dry, Dry Combination, Combination Oily, Oily, Normal 
What It Does 
Did you know skin loses moisture while you sleep? This rich, penetrating night mask replenishes all night long. It soothes and nourishes to help the skin stay hydrated. You’ll wake up to soft, dewy, glowing skin. Recommended for all skin types. Oil-Free. Non-Acnegenic. Ophthalmologist Tested.",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/02/cl_sku_7NR501_1200x1500_0.webp,https://wordpress-637743-3104200.cloudwaysapps.com/product/moisture-surge-overnight-mask-2/,"Face Mask, Mask &amp; Serum, Sale, Skin Care","wordpress-637743-3104200.cloudwaysapps.com",5800BDT,in stock,wc_post_id_14234,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/02/cds5252046_3_.webp",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,4000BDT,new,published,,,,,,,
wc_post_id_14224,"Liquid Lipstick (Ashton)","Liquid Lipstick by Anastasia Beverly Hills is a full-pigment liquid lip colour formula that dries down to a weightless matte finish for smudge-proof wearability and long-lasting colour. This comfortable matte formula delivers full coverage wear and creates the appearance of fuller lips. 
 
Benefits: 
 
  Features a double-sided flat applicator with a rounded tip that distributes the perfect amount of product for precise application 
  The long-wearing shades are versatile enough for customisation, so you can mix and match multiple shades without losing pigment 
 
Features: 
 
  Cruelty-free 
  Vegan",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/08/IMG_8922.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/product/liquid-lipstick-ashton/,"Lips, Lipstick, Makeup, Sale","wordpress-637743-3104200.cloudwaysapps.com",2800BDT,in stock,wc_post_id_14224,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/08/abh-ashton-liquid-lipstick-on.webp,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/08/LIPS_LiquidLipstick-Ashton_OPTIMIZED.webp,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/08/liquid-lipstick-ashton-swatch.jpeg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/08/Liquid-Lipstick-Hudson.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/08/Liquid-Lipstick-Ashton.jpeg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,2200BDT,new,published,,,,,,,
wc_post_id_14199,"Studio Fix Powder Plus Foundation (NC20)","A one-step pressed powder and foundation that gives skin a 12-hour ultra-matte finish while controlling shine and without causing acne.",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/2510754.png,https://wordpress-637743-3104200.cloudwaysapps.com/product/studio-fix-powder-plus-foundation-nc20/,"Face, Makeup, Powder &amp; Compact","wordpress-637743-3104200.cloudwaysapps.com",4800BDT,out of stock,wc_post_id_14199,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/mac_sku_M51021_1x1_2.webp,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/mac_sku_M51021_1x1_0.webp,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6747.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4800BDT,new,published,,,,,,,
wc_post_id_14193,"Fix+ Magic Radiance Setting Spray","A nourishing skin mist that imparts all-day, ultra-hydration and a boost of radiance with hyaluronic acid, essential oils and vitamin C. Shake very well before use for best results!",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_3186.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/product/fix-magic-radiance-setting-spray/,"Face, Makeup, Setting Spray &amp; Mist","wordpress-637743-3104200.cloudwaysapps.com",3300BDT,out of stock,wc_post_id_14193,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/mac_sku_SCA601_1x1_0.webp,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/mac_sku_SCA601_1x1_1.webp,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/mac_sku_SCA601_1x1_2.webp",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3300BDT,new,published,,,,,,,
wc_post_id_14186,"Matte Lipstick (Whirl)","A creamy rich Lipstick formula with a high colour payoff in a no-shine matte finish.",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/mac_sku_M2LP3W_1x1_0.webp,https://wordpress-637743-3104200.cloudwaysapps.com/product/matte-lipstick-whirl/,"Lips, Lipstick, Makeup","wordpress-637743-3104200.cloudwaysapps.com",2000BDT,in stock,wc_post_id_14186,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/mac_sku_M2LP3W_1x1_1.webp,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/mac_sku_M2LP3W_1x1_3.webp,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/mac_sku_M2LP3W_1x1_4.webp,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/mac_sku_M2LP3W_1x1_2.webp",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2000BDT,new,published,,,,,,,
wc_post_id_14180,"3 Wick Candle (Mahogany Teakwood)","The scent of rich mahogany, black teakwood, dark oak and frosted lavender.",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6647.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/product/3-wick-candle-mahogany-teakwood/,"Candles, Sale","wordpress-637743-3104200.cloudwaysapps.com",6900BDT,in stock,wc_post_id_14180,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,3500BDT,new,published,,,,,,,
wc_post_id_14172,"Loose Highlighter (Peach Fizz)","This Loose Highlighter is a shimmering loose highlighter powder with highly reflective, iridescent pearls that deliver an intense sparkly payoff—available in 2 new shades! The easy-to-blend formula has a soft, velvety texture that leaves you with a silky finish.",https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6810.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/product/loose-highlighter-peach-fizz/,"Face, Highlighter, Makeup, Sale","wordpress-637743-3104200.cloudwaysapps.com",4900BDT,in stock,wc_post_id_14172,,"https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/IMG_6811.jpg,https://wordpress-637743-3104200.cloudwaysapps.com/wp-content/uploads/2022/07/FallHighlight_Fair_0809_FIN_optimized.jpeg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,3000BDT,new,published,,,,,,,
